ID,OrgstructureID,E_COMPANY,E_BRANCH,E_UNIT,E_DIVISION,E_DEPARTMENT,E_TEAM,E_SECTION,E_OU_L8,E_OU_L9,E_OU_L10,E_OU_L11,E_OU_L12,E_COMPANY_CODE,E_BRANCH_CODE,E_UNIT_CODE,E_DIVISION_CODE,E_DEPARTMENT_CODE,E_TEAM_CODE,E_SECTION_CODE,E_OU_L8_CODE,E_OU_L9_CODE,E_OU_L10_CODE,E_OU_L11_CODE,E_OU_L12_CODE,ServerUpdate,ServerCreate,UserUpdate,UserCreate,DateCreate,DateUpdate,UserLockID,DateLock,IsDelete,IPCreate,IPUpdate,E_COMPANY_E,E_BRANCH_E,E_UNIT_E,E_DIVISION_E,E_DEPARTMENT_E,E_TEAM_E,E_SECTION_E,SortID,OrgParent1,OrgParent2,OrgParentCode1,OrgParentCode2,OrgParentEN1,OrgParentEN2
9D611382-9242-4275-958E-F9DB82F9FEDD,391C5499-F435-4FDE-BC66-6A83F48F718B,PHONG PHÚ GROUP,NULL,CÔNG TY CỔ PHẦN CÔNG NGHỆ WASH HNC,Nhà máy Wash HNC,Bộ phận kỹ thuật,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,FC_HNC,940002,704000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,3699863,Nhà máy Wash HNC,CÔNG TY CỔ PHẦN CÔNG NGHỆ WASH HNC,940002,FC_HNC,NULL,NULL
B58C6762-54EE-4420-8D9D-F9FF6DDF8392,1B2D9914-D294-4175-94DB-D1F65DFAF2C3,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Trung tâm R&D,Bộ phận R&D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,FC_610000,610001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,3700621,Trung tâm R&D,CÔNG TY CP QUỐC TẾ PHONG PHÚ,FC_610000,PPJ,NULL,
3FE1806C-6F4E-40F6-A59E-FA05B3012B61,263C9939-BECE-42A0-905C-A13D1F33DF96,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,NM May 1 (Khu A),Xưởng Hoàn tất,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,600000,FC_632000,632006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,3700269,NM May 1 (Khu A),Khối SX May,FC_632000,630000,NULL,NULL
47FA6511-A249-441B-ACD9-FA10D4A12713,87B23991-E077-4A64-950A-5381058C8942,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,NM May 2 (B1),Xưởng May,Chuyền 02,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,600000,FC_633000,633005,633405,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,3699669,Xưởng May,NM May 2 (B1),633005,FC_633000,NULL,NULL
D4646584-CD22-47F0-809A-FA11E590CAE4,FE744687-2DA9-411C-AB18-64B7FFC5E934,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy May Xuất Khẩu Phong Phú - Quảng Trị,Chuyền may,Chuyền 12,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,FC_410000,411000,411010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,CHI NHÁNH QU?NG TR? - CÔNG TY C? PH?N QU?C T? PHONG PHÚ,NULL,NULL,NULL,3699809,Chuyền may,Nhà máy May Xuất Khẩu Phong Phú - Quảng Trị,411000,FC_410000,NULL,CHI NHÁNH QUẢNG TRỊ - CÔNG TY CỔ PHẦN QUỐC TẾ PHONG PHÚ
F854B52F-B74B-4406-9456-FA3E5F956583,53085767-7C32-4969-9766-A3B25A046F65,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh công ty CPQT Phong Phú  - Nhà máy may xuất khẩu Phong Phú Nha Trang,Bộ phận Thai sản,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,300000,301400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,CHI NHÁNH CÔNG TY CP QT PHONG PHÚ - NM MAY XU?T KH?U PHONG PHÚ  NHA TRANG ,NULL,NULL,NULL,3700285,Chi nhánh công ty CPQT Phong Phú  - Nhà máy may xuất khẩu Phong Phú Nha Trang,CÔNG TY CP QUỐC TẾ PHONG PHÚ,300000,PPJ,CHI NHÁNH CÔNG TY CP QT PHONG PHÚ - NM MAY XUẤT KHẨU PHONG PHÚ  NHA TRANG ,
B19EEE9F-3384-4A0F-86D2-FA8B213BF971,24F64386-3A6C-4EBB-A461-6CB743993B44,PHONG PHÚ GROUP,NULL,CÔNG TY CỔ PHẦN VINATEX QUỐC TẾ,Chi nhánh VTJ TP. Đà Nẵng,Nhà máy Dệt Khí,Xưởng Dệt,Tổ Dệt B,NULL,NULL,NULL,NULL,NULL,PPG,NULL,VTJ,VTJÐN,582000,582500,582504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,CÔNG TY C? PH?N VINATEX QU?C T?,NULL,NULL,NULL,NULL,3699884,Xưởng Dệt,Nhà máy Dệt Khí,582500,582000,NULL,NULL
D7FA4A6E-6330-464C-9DB1-FAA198793361,83927C32-8F8D-49B5-AF24-B49AC1287E3A,PHONG PHÚ GROUP,NULL,CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ PHONG PHÚ - PHÚ YÊN,Nhà máy Wash Phú Yên,Bộ phận chất lượng,Sửa hàng,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PY,FC_P04,596000,596007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,CÔNG TY C? PH?N Ð?U TU QU?C T? PHONG PHÚ - PHÚ YÊN,CÔNG TY C? PH?N K? NGH? TH?C PH?M PHÚ YÊN,NULL,NULL,NULL,3700412,Bộ phận chất lượng,Nhà máy Wash Phú Yên,596000,FC_P04,NULL,CÔNG TY CỔ PHẦN KỸ NGHỆ THỰC PHẨM PHÚ YÊN
61183AEB-FE88-48C5-BBE2-FAA58F3041DB,2C7FAE90-39AB-4270-820E-59AA14464238,PHONG PHÚ GROUP,NULL,CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ PHONG PHÚ - PHÚ YÊN,Nhà máy May Xuất khẩu Phong Phú Phú Yên 1,Bộ phận hoàn tất,Tổ giao nhận,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PY,FC_P01,P011000,P011002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,CÔNG TY C? PH?N Ð?U TU QU?C T? PHONG PHÚ - PHÚ YÊN,NULL,NULL,NULL,NULL,3699722,Bộ phận hoàn tất,Nhà máy May Xuất khẩu Phong Phú Phú Yên 1,P011000,FC_P01,NULL,NULL
8632E4E8-F14D-4442-A31A-FB064DDCF3D9,C0E4F6A4-BAC6-4648-8D2D-6E099580B0FB,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy Thời Trang Phong Phú (Wash Linh Trung),Bộ phận Cơ điện - Bảo Trì,Vận hành lò hơi,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,FC_270000,270600,270602,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,CÔNG TY CP QU?C T? PHONG PHÚ,CÔNG TY C? PH?N QU?C T? PHONG PHÚ,CÔNG TY C? PH?N QU?C T? PHONG PHÚ,NULL,3699895,Bộ phận Cơ điện - Bảo Trì,Nhà máy Thời Trang Phong Phú (Wash Linh Trung),270600,FC_270000,CÔNG TY CỔ PHẦN QUỐC TẾ PHONG PHÚ,CÔNG TY CP QUỐC TẾ PHONG PHÚ
